schema_version,benchmark_version,controller_name,row_index,track_id,reset_seed,episode_seed,controller_seed,success,lap_time_s,environment_steps,total_reward,terminated,truncated,termination_reason,termination_reason_name,controller_import_time_s,controller_init_time_s,compute_sample_count,compute_deadline_s,compute_p50_s,compute_p95_s,compute_p99_s,compute_max_s,compute_deadline_miss_count,compute_deadline_miss_rate,metric_transition_count,metric_action_delta_count,mean_speed_mps,lateral_error_rms_m,lateral_error_abs_p95_m,lateral_error_abs_max_m,steering_saturation_rate,longitudinal_saturation_rate,steering_rate_rms_rad_s,acceleration_rate_rms_mps3
controller-learning.m8-controller-results.v1,0.1,ppo,10,2000011,10,2281551864,1448500881,true,20.899999618530273,418,2.0000000616018951,true,false,1,success,0.0011747019999999999,0.0012361239999999999,418,0.050000000000000003,0.00026412699999999996,0.00027210150000000002,0.00027516234000000002,0.00029655000000000003,0,0,418,417,17.068394082758946,0.11083133452594815,0.23251639725243733,0.29210947295792333,0,0,1.6413242783133848,2.0148953064798318
controller-learning.m8-controller-results.v1,0.1,ppo,11,2000013,11,1779521583,3090160286,true,23.350000381469727,467,1.999999910999577,true,false,1,success,0.0012664040000000001,0.0012023120000000001,467,0.050000000000000003,0.00022156899999999999,0.00027297949999999997,0.00029112683999999952,0.000364843,0,0,467,466,18.022862320143027,0.23254820499501894,0.42056834708240803,0.6783966288377995,0,0,1.5970716074280866,2.2394387657443349
controller-learning.m8-controller-results.v1,0.1,ppo,12,2000014,12,1022494931,1877634677,true,24.950000762939453,499,2.0000000143836587,true,false,1,success,0.0011634499999999999,0.00120134,499,0.050000000000000003,0.00022211,0.0002723852,0.00027786925999999997,0.00030249500000000001,0,0,499,498,18.773019331467864,0.20553659894493767,0.32566623418944568,0.33993444427571168,0,0,1.8565391884507638,2.4033423473789997
controller-learning.m8-controller-results.v1,0.1,ppo,13,2000015,13,3555549500,874276766,true,25.350000381469727,507,2.0000000408763299,true,false,1,success,0.001154153,0.0011725100000000001,507,0.050000000000000003,0.000216536,0.0002236816,0.00022642121999999999,0.00043187100000000001,0,0,507,506,18.686849852467663,0.25533970200906264,0.43346276153857516,0.47606212917245655,0,0,1.6796552325779017,2.4092536595855383
controller-learning.m8-controller-results.v1,0.1,ppo,14,2000016,14,3544123072,1429176578,false,,528,-6.7666405811905861e-09,true,false,2,off_track,0.001126595,0.0011807549999999999,528,0.050000000000000003,0.00026907250000000004,0.00027454275,0.0002775489,0.00028030399999999999,0,0,528,527,18.99055993742952,0.31856000523643918,0.38704210416446549,2.6945344635774355,0,0,1.8787869256063778,3.3806945905875931
controller-learning.m8-controller-results.v1,0.1,ppo,15,2000017,15,1061330360,3867350801,true,26,520,2.0000000388254193,true,false,1,success,0.0011208279999999999,0.0011744940000000001,520,0.050000000000000003,0.00021613600000000002,0.00022424729999999998,0.00023079907999999999,0.000268884,0,0,520,519,18.995155002874657,0.23497442710025246,0.39875037037057659,0.47521732118431714,0,0,1.7804446794655795,2.4673515621702844
controller-learning.m8-controller-results.v1,0.1,ppo,16,2000018,16,393510155,1117496413,true,23.75,475,1.9999999466890586,true,false,1,success,0.0011300559999999999,0.001190335,475,0.050000000000000003,0.00026645199999999998,0.00027422340000000001,0.00028285195999999999,0.00033353300000000001,0,0,475,474,18.232227218170756,0.21488072332962471,0.4103777524415016,0.62940528439299037,0,0,1.6200753859962644,2.2509999448188283
controller-learning.m8-controller-results.v1,0.1,ppo,17,2000020,17,1217920362,396518381,true,20.600000381469727,412,1.999999919491529,true,false,1,success,0.001104956,0.0011587030000000001,412,0.050000000000000003,0.00021413349999999999,0.00022302490000000001,0.00023379489999999999,0.00045153000000000001,0,0,412,411,16.868886819939139,0.13420348097805454,0.26494255463423932,0.37173457931059323,0,0,1.4337561120663851,1.7950319395082659
controller-learning.m8-controller-results.v1,0.1,ppo,18,2000021,18,17838891,1130517791,true,24,480,2.000000044893568,true,false,1,success,0.0011327679999999999,0.0013557300000000001,480,0.050000000000000003,0.0002219015,0.00027454679999999997,0.00027780700000000003,0.00029200299999999999,0,0,480,479,18.333256305872002,0.19886925940829664,0.36260979611207966,0.45656442290672139,0,0,1.4882264296441574,2.0319533682400954
controller-learning.m8-controller-results.v1,0.1,ppo,19,2000023,19,2319906299,547342980,true,21.200000762939453,424,1.9999999794326868,true,false,1,success,0.0011259849999999999,0.0011735579999999999,424,0.050000000000000003,0.00026662499999999999,0.00027157745,0.00027502530999999998,0.00047034399999999998,0,0,424,423,17.107438391621265,0.19102858045691212,0.34464238833732497,0.379619250586824,0,0,1.6272028587703962,2.2778305725937766
